Name,Price,Colors,Product Link
Regular-Fit Cable-Knit Polo Shirt,$ 44.99,"Cream, Black",https://www.hm.com/en_us/productpage.1259986002.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Navy blue, Sage green, Green/white striped, Beige/white striped, Light beige, White, Black, Light brown",https://www.hm.com/en_us/productpage.1256946010.html
Regular-Fit Linen-Blend Resort Shirt,$ 34.99,"Beige, Black",https://www.hm.com/en_us/productpage.1262042001.html
Relaxed-Fit Cargo Pants,$ 44.99,"Dark beige, Dark gray, Pistachio green",https://www.hm.com/en_us/productpage.1259391002.html
Slim-Fit Cargo Pants,$ 39.99,"White, Black, Dark gray, Light beige, Khaki green",https://www.hm.com/en_us/productpage.1253393005.html
Loose-Fit Seersucker Resort Shirt,$ 29.99,"Light blue/striped, Beige/checked, Dark gray",https://www.hm.com/en_us/productpage.1265306004.html
Relaxed-Fit Cargo Pants,$ 44.99,"Pistachio green, Dark gray, Dark beige",https://www.hm.com/en_us/productpage.1259391003.html
Regular-Fit Linen Pants,$ 54.99,"White, Light beige, Black, Dark beige, Navy blue",https://www.hm.com/en_us/productpage.1253406005.html
Regular-Fit Linen Shirt,$ 44.99,"Light beige, White",https://www.hm.com/en_us/productpage.1258318001.html
Regular-Fit Tailored Linen-Blend Pants,$ 44.99,"Black, Beige, Light beige",https://www.hm.com/en_us/productpage.1259381001.html
Slim Fit Linen Shirt,$ 44.99,"Sage green, White, Light blue, Black",https://www.hm.com/en_us/productpage.1258123004.html
Slim Fit Twill Pants,$ 39.99,"Dark beige, Black, Light beige, White, Navy blue",https://www.hm.com/en_us/productpage.1236096005.html
